#gym_name	begin_date	end_date	type	league	is_attendance_planned	is_registered
Leap Ninja	2/1/2025		Area Qualifier	UNAA Season 10		
Athletes in Motion	2/1/2025		Area Qualifier	UNAA Season 10		
USA Ninja Challenge - Greenbrier	2/1/2025		Area Qualifier	UNAA Season 10		
Authentik Movement Training	2/8/2025		Area Qualifier	UNAA Season 10		
Sumner Ninja	2/8/2025		Area Qualifier	UNAA Season 10		
Warrior Challenge Arena	2/8/2025		Area Qualifier	UNAA Season 10		
Ninjas United	2/8/2025	2/9/2025	Area Qualifier	UNAA Season 10		
USA Ninja Challenge - Marlborough	2/8/2025		Area Qualifier	UNAA Season 10		
Airbenders	2/15/2025		Area Qualifier	UNAA Season 10		
Iron Sports Ninja Warrior	2/15/2025		Area Qualifier	UNAA Season 10		
Rock Solid Warrior - Apex	2/15/2025	2/16/2025	Area Qualifier	UNAA Season 10		
Ninjobstacles	2/15/2025	2/16/2025	Area Qualifier	UNAA Season 10		
USA Ninja Challenge - Rochester	2/16/2025		Area Qualifier	UNAA Season 10		
Ninja Force	2/16/2025		Area Qualifier	UNAA Season 10		
Strong Grip	2/17/2025		Area Qualifier	UNAA Season 10		
Ninja Obstacle Academy	2/22/2025		Area Qualifier	UNAA Season 10		
The Jungle Movement Academy	2/22/2025		Area Qualifier	UNAA Season 10		
Bodies In Motion	2/22/2025		Area Qualifier	UNAA Season 10		
Nova Ninja Sterling	2/22/2025	2/23/2025	Area Qualifier	UNAA Season 10		
Kid Wonder	2/22/2025	2/23/2025	Area Qualifier	UNAA Season 10		
Conquer Ninja - Fargo	2/22/2025	2/23/2025	Area Qualifier	UNAA Season 10		
Warrior Tech - Raleigh	2/22/2025	2/23/2025	Area Qualifier	UNAA Season 10		
The Wolfs Den	3/1/2025		Area Qualifier	UNAA Season 10		
Vertex Lab Academy	3/15/2025		Area Qualifier	UNAA Season 10		
Conquer Gym - Chandler	3/15/2025		Area Qualifier	UNAA Season 10		
Super Ninja Zone	3/15/2025		Area Qualifier	UNAA Season 10		
716 Ninja Academy	3/15/2025		Area Qualifier	UNAA Season 10		
Ninja Quest Adventures	3/15/2025		Area Qualifier	UNAA Season 10		
Rapt Ninja Academy	3/15/2025	3/16/2025	Area Qualifier	UNAA Season 10		
Paragon Performance Sports	3/22/2025		Area Qualifier	UNAA Season 10	Yes	No
Sumter Ninja Warrior	3/22/2025		Area Qualifier	UNAA Season 10		
WISC Ninja Warrior	3/22/2025		Area Qualifier	UNAA Season 10		
Permian Basin Ninja Academy	3/22/2025		Area Qualifier	UNAA Season 10		
Avant Coeur Ninja	3/22/2025		Area Qualifier	UNAA Season 10		
Ultimate Ninjas- Anaheim Hills	3/22/2025		Area Qualifier	UNAA Season 10		
Ninja Republic	3/22/2025		Area Qualifier	UNAA Season 10		
