Hit Squad Ninjas	Arizona	February 28th & March 8th
Power Pickle	Texas	February 28th
305 Ninja Academy	Florida	February 28th
Iron Sports Ninja Warrior	Texas	February 28 - March 8th
Vertex Lab Academy	Virginia	February 28 - March 8th
Ninjobstacles	Ohio	February 28 - March 2st
ORTHDX	Wisconsin	March 5 - 7th
Strickly Ninjas	Georgia	March 7 - 8th
Fortified Fitness	Tennessee	March 7th
Republic Warrior Sports	Missouri	March 7th
Paragon Performance Sports	Kansas	March 7th
SOFLO Ninja Academy	Florida	March 7 th
USA Ninja Challenge - Marlborough	Massachusetts	March 7 - 8th
The Ninja Playground	Utah	March 7th
Next Level Gym	Oklahoma	March 7th
Ultimate Ninja Gym	New Mexico	March 7th
Permian Basin Ninja Academy	Texas	March 7th
Warrior Zone Ninja Obstacle Center	North Carolina	March 8th
Infinity Ninja	North Dakota	March 8th
Apex Ninja Warrior	Texas	March 8th
Ninja Nation - Murphy	Texas	March 8th
Ninja Lair	Nevada	March 8th
		
