The Ninja Playground	Utah	March 1st
Move Sport Ninja Academy	Texas	March 1 st
Hit Squad	Arizona	March 1 - 2nd
Ninja Lair	Nevada	March 2nd
The Wolfs Den	California	March 2nd
Ultimate Ninja Gym	New Mexico	March 1st, 4th, 6th
Always Alley" Ninja Course	North Carolina	March 4 & 9th
Warrior Playground	Colorado	March 6 - 7th
Conquer Gym - Eden Prairie	Minnesota	March 7 - 8th
Leap Ninja	Wyoming	March 7 - 9th
Athletes in Motion	Lousiana	March 8th
Fortified Fitness	Tennessee	March 8th
Next Level Ninja	Oklahoma	March 8th
Republic Warrior Sports	Missouri	March 8th
Ninjobstacles	Ohio	March 8th
StricklyNinjas	Georgia	March 8th
Conquer Gym - Fargo	North Dakota	March 8th
Iron Sports Ninja Warrior	Texas	March 1 - 9th
WISC Ninja Warrior	Virginia	March 1 - 9th
Altius Ninja	Wisconsin	March 1 - 9th
Power Pickle	Texas	March 1 - 9th
305 Ninja Academy	Florida	March 1 - 9th
Tri County	Michigan	March 1 - 9th
Ninja Nation - Murphy	Texas	March 9th
Strong Grip	Florida	March 9th
